city,ptime,time_stamp,o3,wd,pm25,weekday,ws,weather,temp,clock_num,pm10,sd,co,so2,month,no2
太原,2017092501.0,1506301200,0.3028571428571429,3.0,0.226,0,0.1,2,0.6666666666666666,3600,0.2925,0.6181818181818182,0.2357142652784075,0.054000000000000006,9,0.28
太原,2017092502.0,1506304800,0.2885714285714286,1.0,0.24,0,0.1,2,0.65,7200,0.31125,0.6909090909090909,0.23214285714285715,0.05,9,0.275
太原,2017092503.0,1506308400,0.29428571428571426,15.0,0.25,0,0.1,2,0.6166666666666667,10800,0.31,0.7636363636363637,0.22678569384983605,0.046,9,0.24
太原,2017092504.0,1506312000,0.26285714285714284,1.0,0.25,0,0.1,2,0.6,14400,0.3075,0.8090909090909091,0.2285714149475097,0.042,9,0.24
太原,2017092505.0,1506315600,0.22285714285714286,13.0,0.24,0,0.1,2,0.6,18000,0.30625,0.8272727272727273,0.22678569384983605,0.044000000000000004,9,0.27
太原,2017092506.0,1506319200,0.20285714285714285,1.0,0.23600000000000002,0,0.0,2,0.5833333333333334,21600,0.2975,0.8454545454545455,0.2285714149475097,0.042,9,0.27
太原,2017092507.0,1506322800,0.1657142857142857,9.0,0.23,0,0.1,0,0.6,25200,0.285,0.8545454545454545,0.2374999863760812,0.04,9,0.305
太原,2017092508.0,1506326400,0.14857142857142858,15.0,0.228,0,0.1,0,0.6166666666666667,28800,0.29,0.8545454545454545,0.2482142789023263,0.042,9,0.35
太原,2017092509.0,1506330000,0.21142857142857144,15.0,0.212,0,0.1,0,0.6166666666666667,32400,0.28625,0.8363636363636363,0.2482142789023263,0.048,9,0.305
太原,2017092510.0,1506333600,0.26857142857142857,1.0,0.21600000000000005,0,0.1,0,0.6833333333333333,36000,0.28625,0.5636363636363636,0.26964286395481657,0.06,9,0.31
太原,2017092511.0,1506337200,0.35428571428571426,1.0,0.2,0,0.2,0,0.7166666666666667,39600,0.26625,0.4727272727272727,0.23214285714285715,0.062,9,0.235
太原,2017092512.0,1506340800,0.4028571428571429,5.0,0.14800000000000002,0,0.2,1,0.75,43200,0.21125,0.34545454545454546,0.16904762813023155,0.046,9,0.16
太原,2017092513.0,1506344400,0.44857142857142857,7.0,0.10400000000000001,0,0.1,1,0.7666666666666667,46800,0.165,0.3,0.1196428622518267,0.034,9,0.1
太原,2017092514.0,1506348000,0.4714285714285714,5.0,0.09,0,0.2,1,0.7833333333333333,50400,0.13875,0.3181818181818182,0.11785714115415301,0.032,9,0.09
太原,2017092515.0,1506351600,0.4771428571428572,9.0,0.086,0,0.2,1,0.7833333333333333,54000,0.135,0.2545454545454545,0.11249999489103044,0.032,9,0.095
太原,2017092516.0,1506355200,0.4685714285714286,9.0,0.07400000000000001,0,0.1,1,0.8,57600,0.1225,0.2818181818181818,0.10357142346245904,0.026000000000000002,9,0.085
太原,2017092517.0,1506358800,0.4457142857142857,5.0,0.07,0,0.1,1,0.7833333333333333,61200,0.11875,0.3272727272727273,0.1000000068119594,0.026000000000000002,9,0.095
太原,2017092518.0,1506362400,0.3742857142857143,11.0,0.068,0,0.2,1,0.7666666666666667,64800,0.1225,0.3181818181818182,0.10178571087973458,0.026000000000000002,9,0.16
太原,2017092519.0,1506366000,0.2828571428571429,5.0,0.08,0,0.2,1,0.7,68400,0.1375,0.5,0.12321428741727558,0.027999999999999997,9,0.305
太原,2017092520.0,1506369600,0.32857142857142857,5.0,0.10400000000000001,0,0.1,1,0.7,72000,0.17625,0.5181818181818182,0.14285715988704134,0.036000000000000004,9,0.245
太原,2017092521.0,1506373200,0.3514285714285714,5.0,0.136,0,0.2,1,0.6833333333333333,75600,0.21125,0.5636363636363636,0.1589285816465105,0.038,9,0.205
太原,2017092522.0,1506376800,0.2457142857142857,5.0,0.14400000000000002,0,0.2,1,0.6666666666666666,79200,0.21625,0.6090909090909091,0.15357143538338794,0.036000000000000004,9,0.305
太原,2017092523.0,1506380400,0.18571428571428567,5.0,0.14800000000000002,0,0.1,1,0.65,82800,0.20875,0.6636363636363637,0.15535713945116314,0.04,9,0.345
太原,2017092600.0,1506384000,0.16,1.0,0.156,1,0.0,0,0.6166666666666667,0,0.2075,0.7545454545454545,0.15535713945116314,0.038,9,0.35
太原,2017092601.0,1506387600,0.13428571428571429,1.0,0.154,1,0.0,0,0.5833333333333334,3600,0.2125,0.8090909090909091,0.1499999931880406,0.034,9,0.35
太原,2017092602.0,1506391200,0.1,1.0,0.16,1,0.0,0,0.5833333333333334,7200,0.21625,0.8363636363636363,0.1499999931880406,0.04,9,0.375
太原,2017092603.0,1506394800,0.06857142857142857,1.0,0.168,1,0.0,0,0.5833333333333334,10800,0.22,0.8454545454545455,0.15714284351893834,0.044000000000000004,9,0.405
太原,2017092604.0,1506398400,0.07142857142857142,7.0,0.172,1,0.1,0,0.5666666666666667,14400,0.2225,0.8545454545454545,0.15892856461661206,0.038,9,0.36
太原,2017092605.0,1506402000,0.045714285714285714,7.0,0.17,1,0.1,0,0.5666666666666667,18000,0.22625,0.8636363636363636,0.16607143197740828,0.038,9,0.37
太原,2017092606.0,1506405600,0.03714285714285714,1.0,0.168,1,0.0,0,0.5666666666666667,21600,0.2325,0.8727272727272727,0.16249998978206093,0.034,9,0.365
太原,2017092607.0,1506409200,0.03428571428571429,15.0,0.16399999999999998,1,0.1,4,0.5666666666666667,25200,0.2275,0.8727272727272727,0.16785715307508192,0.038,9,0.36
太原,2017092608.0,1506412800,0.045714285714285714,15.0,0.158,1,0.1,4,0.5666666666666667,28800,0.2325,0.8727272727272727,0.1892857210976737,0.038,9,0.355
太原,2017092609.0,1506416400,0.1,1.0,0.158,1,0.2,2,0.65,32400,0.2225,0.6545454545454545,0.1857142959322248,0.044000000000000004,9,0.31
太原,2017092610.0,1506420000,0.2,1.0,0.084,1,0.3,2,0.6666666666666666,36000,0.1525,0.509090909090909,0.11607142857142858,0.05,9,0.155
太原,2017092611.0,1506423600,0.2571428571428571,1.0,0.038,1,0.3,2,0.6666666666666666,39600,0.11875,0.509090909090909,0.0749999965940203,0.024,9,0.075
太原,2017092612.0,1506427200,0.26,1.0,0.03,1,0.4,2,0.7,43200,0.1025,0.3818181818181817,0.07142857142857142,0.022000000000000002,9,0.07
太原,2017092613.0,1506430800,0.2742857142857143,1.0,0.03,1,0.4,2,0.7166666666666667,46800,0.09625,0.3818181818181817,0.08095238038471766,0.02,9,0.07
太原,2017092614.0,1506434400,0.27714285714285714,1.0,0.038,1,0.2,2,0.7333333333333333,50400,0.10125,0.4090909090909091,0.09523809807641166,0.026000000000000002,9,0.08
太原,2017092615.0,1506438000,0.26,1.0,0.048,1,0.1,0,0.7,54000,0.1025,0.4909090909090909,0.08809524774551393,0.02,9,0.105
太原,2017092616.0,1506441600,0.2571428571428571,5.0,0.044000000000000004,1,0.2,0,0.7,57600,0.1075,0.4818181818181818,0.07500000510896955,0.022000000000000002,9,0.12
太原,2017092617.0,1506445200,0.2542857142857143,3.0,0.05,1,0.2,0,0.7,61200,0.11,0.4818181818181818,0.08392857653754097,0.032,9,0.13
太原,2017092618.0,1506448800,0.2457142857142857,7.0,0.064,1,0.2,0,0.6666666666666666,64800,0.12375,0.4727272727272727,0.09285713945116317,0.026000000000000002,9,0.155
太原,2017092619.0,1506452400,0.21428571428571427,5.0,0.064,1,0.2,0,0.65,68400,0.11875,0.5454545454545454,0.0946428520338876,0.024,9,0.175
太原,2017092620.0,1506456000,0.19142857142857145,3.0,0.066,1,0.2,0,0.65,72000,0.11625,0.5545454545454546,0.09642857313156128,0.026000000000000002,9,0.19
